locale,avg_pop_age,med_pop_age,avg_household_size,percent_dwelling_single_detached,percent_dwelling_apts,avg_total_individual_income,med_total_individual_income,avg_total_household_income,med_total_household_income,avg_total_employment_income,med_total_employment_income,percent_commute_drive,percent_commute_pool,percent_commute_transit,percent_commute_walk,percent_commute_bicycle,percent_commute_other,percent_commute_0_14,percent_commute_15_29,percent_commute_30_44,percent_commute_45_59,percent_commute_60_,percent_visible_minority,percent_south_asian,percent_chinese,percent_black,percent_filipino,percent_latin_american,percent_arab,percent_southeast_asian,percent_west_asian,percent_korean,percent_japanese,percent_vis_min_nie,percent_vis_min_mult,percent_not_vis_min,percent_home_owner,percent_home_renter,percent_suitable_housing,percent_unsuitable_housing,percent_under_30_percent_housing,percent_over_30_percent_housing,median_rent,average_rent,percent_no_diploma,percent_high_school_diploma,percent_post_secondary_diploma_degree,percent_trades_diploma,percent_bachelors_degree,percent_masters_degree,percent_doctorate_degree
Marpole,41.9,42.2,2.2,0.20045977011494254,0.7085057471264368,42306,28997,73490,53782,44420,31623,0.5131873044255699,0.03665623603039785,0.36924452391595886,0.04604380867232901,0.02637460885113992,0.008940545373267769,0.1358355674709562,0.3529937444146559,0.3087578194816801,0.12332439678284182,0.07864164432529044,0.6674953387197017,0.031075201988812928,0.4385746840687798,0.010358400662937643,0.07975968510461985,0.014916096954630205,0.008286720530350114,0.013258752848560183,0.010565568676196395,0.014087424901595194,0.024238657551274082,0.0016573441060700228,0.02113113735239279,0.3325046612802983,0.41173773498395233,0.5878037597432371,0.8991288399816598,0.1008711600183402,0.601932811780948,0.398067188219052,964,1113,0.10451250876782792,0.2906242693476736,0.6048632218844985,0.04956745382277297,0.25157820902501754,0.0745849894786065,0.014963759644610709
Mount Pleasant,38.3,35.5,1.8,0.0216787103946637,0.9280155642023347,60100,46060,87054,66299,59830,47408,0.3887147335423197,0.027972027972027972,0.2994936098384374,0.14612973233662888,0.12153363877501809,0.016156257535567882,0.17096696407041234,0.4359778152881601,0.2645285748734025,0.08970340004822763,0.03882324571979744,0.3191126279863481,0.033354017995656224,0.1110766366739063,0.01132485262178095,0.05833074775054297,0.013496742165684146,0.0023270245113248527,0.024666459820043438,0.008377288240769469,0.015048091839900713,0.01970214086255042,0.004033509152963078,0.01768538628606888,0.6808873720136519,0.39115929941618016,0.6091187100361413,0.922991381706978,0.07700861829302197,0.6539319576129392,0.3460680423870608,1164,1291,0.06672369546621043,0.1863130881094953,0.7471343028229256,0.04944396920444825,0.3218135158254919,0.10453378956372969,0.02001710863986313
Oakridge,44.3,45.1,2.6,0.3829145728643216,0.5396984924623116,53357,30565,100495,62988,52112,31824,0.579610538373425,0.05154639175257732,0.290950744558992,0.048109965635738834,0.016036655211912942,0.013745704467353952,0.15234822451317298,0.43757159221076747,0.27491408934707906,0.09507445589919816,0.037800687285223365,0.7540291634689179,0.05257099002302379,0.5759785111281658,0.0034535686876438986,0.019570222563315427,0.0072908672294704525,0.0023023791250959325,0.016116653875671526,0.010744435917114352,0.02532617037605526,0.015349194167306216,0.0011511895625479663,0.023791250959324637,0.24597083653108212,0.6135458167330677,0.38645418326693226,0.9263681592039801,0.0736318407960199,0.561,0.439,1426,1494,0.12483631601920558,0.2610213880401571,0.614578786556089,0.03884766477520733,0.26756874727193364,0.08642514185945002,0.012658227848101266
Renfrew-Collingwood,41.2,40,2.7,0.1886092715231788,0.7870198675496689,37413,28735,76941,64179,39360,31564,0.4993288590604027,0.047171620325982745,0.40421860019175454,0.02588686481303931,0.014189837008628955,0.009012464046021093,0.10088224012274645,0.34637514384349827,0.3615266589950134,0.11219792865362485,0.07920981971614884,0.7787973447871925,0.06930886372510738,0.4172198360015619,0.01015228426395939,0.13158922295978134,0.015033190160093713,0.002733307301835221,0.06589222959781335,0.004392815306520891,0.014154627098789535,0.015033190160093713,0.0014642717688402968,0.03192112456071847,0.2212026552128075,0.5836204611714816,0.4163795388285184,0.8828207847295865,0.11717921527041357,0.6679054950889302,0.33209450491106984,1096,1107,0.21035670630070008,0.3077008556506278,0.4821646849649961,0.06145127236359595,0.1807978664296033,0.03400377819757751,0.006222913657073008
Riley Park,40.2,39.3,2.5,0.25127334465195245,0.7068477645727221,60673,41076,110518,83513,60040,42411,0.4827586206896552,0.034482758620689655,0.2833775419982317,0.08178603006189213,0.10212201591511937,0.015030946065428824,0.14197257850508624,0.4294559929234852,0.2914639540026537,0.08845643520566121,0.048651039363113664,0.44064386317907445,0.0482897384305835,0.23295327520679635,0.004694835680751174,0.07265817124972054,0.00782472613458529,0.003129890453834116,0.022803487592219986,0.004024144869215292,0.005812653699977644,0.019450033534540577,0.001564945226917058,0.017437961099932932,0.5593561368209256,0.5806451612903226,0.4187889077532541,0.944538766270515,0.055461233729485006,0.7125850340136054,0.28741496598639454,1254,1361,0.11916688636962826,0.22119694173477458,0.6596361718955972,0.04640126548905879,0.2755075138412866,0.09833904561033482,0.021091484313208543
Shaughnessy,43.8,45.7,2.8,0.645655877342419,0.3151618398637138,172746,48056,262760,111566,135141,42598,0.6462346760070052,0.03677758318739054,0.16637478108581435,0.07530647985989491,0.06129597197898424,0.017513134851138354,0.2136602451838879,0.4413309982486865,0.23117338003502627,0.06830122591943957,0.04553415061295972,0.5413016270337923,0.03379224030037547,0.41802252816020025,0.006257822277847309,0.01939924906132666,0.008135168961201502,0.0050062578222778474,0.00688360450563204,0.004380475594493116,0.016896120150187734,0.010012515644555695,0.0018773466833541927,0.011264080100125156,0.45869837296620775,0.7447916666666666,0.2534722222222222,0.9600694444444444,0.03993055555555555,0.6707317073170732,0.32926829268292684,1419,1786,0.07943578322197475,0.22345953971789162,0.6971046770601337,0.022271714922048998,0.2858203414996288,0.10393466963622866,0.028953229398663696
South Cambie,42.1,40.2,2.4,0.2795527156549521,0.6661341853035144,76952,46166,130230,83111,70456,46005,0.4530386740331492,0.022099447513812154,0.2914364640883978,0.13812154696132597,0.08149171270718232,0.012430939226519336,0.19751381215469613,0.43922651933701656,0.23756906077348067,0.06629834254143646,0.05939226519337017,0.43262879788639363,0.042932628797886396,0.26354029062087186,0.009247027741083224,0.034346103038309116,0.011889035667107,0.001321003963011889,0.0066050198150594455,0.00726552179656539,0.012549537648612946,0.02906208718626156,0.0019815059445178335,0.012549537648612946,0.5673712021136064,0.5886075949367089,0.41139240506329117,0.9492868462757528,0.05071315372424723,0.6703645007923931,0.329635499207607,1381,1500,0.08525345622119816,0.19738863287250383,0.7181259600614439,0.03302611367127496,0.2980030721966206,0.11443932411674347,0.026113671274961597
Strathcona,47.3,48.3,1.7,0.05465414175918019,0.874466268146883,33190,17518,46368,21964,44645,26877,0.288,0.02666666666666667,0.26266666666666666,0.244,0.156,0.021333333333333333,0.24266666666666667,0.3413333333333333,0.26266666666666666,0.08666666666666667,0.068,0.4520547945205479,0.011669203450025367,0.2907153729071537,0.029934043632673768,0.0121765601217656,0.017250126839167934,0.0050735667174023336,0.04819888381532217,0.0025367833587011668,0.0050735667174023336,0.008117706747843734,0.007102993404363267,0.014205986808726534,0.547945205479452,0.19230769230769232,0.8076923076923077,0.9256410256410257,0.07435897435897436,0.5231560891938251,0.47684391080617494,481,699,0.2758229284903519,0.25595913734392733,0.4676503972758229,0.06242905788876277,0.1623155505107832,0.04426787741203178,0.013053348467650397
Sunset,39.8,38.7,3.1,0.1653139683895771,0.7962409226826143,38556,28772,85835,68855,39758,31086,0.5292823755842727,0.0566400879846027,0.35193841077811383,0.028045092108880947,0.02364586197415452,0.010448171569975254,0.12042892493813583,0.3467143249931262,0.3084960131976904,0.1306021446246907,0.09375859224635688,0.8285753880266076,0.33592017738359203,0.22671840354767184,0.009700665188470067,0.1557649667405765,0.019262749445676276,0.0034645232815964525,0.03492239467849224,0.005958980044345898,0.0041574279379157425,0.007483370288248337,0.0036031042128603103,0.021618625277161862,0.17142461197339245,0.5334195774040534,0.4665804225959465,0.8551099611901681,0.1448900388098318,0.6683937823834197,0.3316062176165803,1000,1112,0.21130661453242097,0.3041707396546106,0.4845226458129684,0.052948843271423914,0.1823069403714565,0.04936461388074291,0.006516780710329097
Victoria-Fraserview,43.7,44.3,3,0.2605911330049261,0.6931034482758621,38075,27427,85722,68126,39154,29298,0.6086188625927235,0.05793006004945249,0.2914164606146238,0.024373013069586717,0.007771105616389968,0.009890498057223597,0.10526315789473684,0.3790180148357471,0.3147297774637937,0.11586012009890498,0.08442246555987283,0.8420704481561104,0.10186869522077063,0.5195964941293203,0.00826856292376385,0.1093104018521581,0.015544898296676038,0.002149826360178601,0.04349264097899785,0.0029766826525549858,0.004134281461881925,0.009591532991566065,0.001984455101703324,0.023482718703489332,0.15792955184388954,0.6096361848574238,0.39036381514257623,0.8992133726647001,0.1007866273352999,0.7132316773241515,0.2867683226758485,950,1064,0.22390317700453857,0.3294251134644478,0.4468608169440242,0.0550302571860817,0.16792738275340394,0.030257186081694403,0.00416036308623298
West End,42.8,38.4,1.5,0.0009716599190283401,0.9935222672064777,52908,39897,67432,51410,52194,41305,0.24752475247524752,0.019107173875282265,0.266284523189161,0.37502171269758555,0.07278096230675699,0.019454577036651034,0.1937109103544128,0.40965948575399586,0.2331480194579569,0.09972202918693537,0.06393328700486449,0.2864940068493151,0.028253424657534245,0.0586472602739726,0.013377568493150685,0.01990582191780822,0.03820633561643835,0.012735445205479453,0.011451198630136987,0.033818493150684935,0.028467465753424657,0.02771832191780822,0.004173801369863014,0.009845890410958904,0.713505993150685,0.19909135161447347,0.8010709070257991,0.8969824789097989,0.10301752109020117,0.5501544464314746,0.44984555356852546,1254,1308,0.04848620265892079,0.20321751759579934,0.7482962797452799,0.054630767512009834,0.2950508323092392,0.11093732543849849,0.017539939671545077
West Point Grey,42.1,43.9,2.4,0.403899721448468,0.5728876508820798,109517,49438,161576,84951,95791,38744,0.5216049382716049,0.030864197530864196,0.2613168724279835,0.07098765432098765,0.10493827160493827,0.01131687242798354,0.18331616889804325,0.40885684860968075,0.2780638516992791,0.07929969104016478,0.05149330587023687,0.3606811145510836,0.0336687306501548,0.23993808049535603,0.003869969040247678,0.007739938080495356,0.010061919504643963,0.0007739938080495357,0.006578947368421052,0.015092879256965945,0.015479876160990712,0.018188854489164085,0.0,0.009287925696594427,0.6393188854489165,0.6220767072029935,0.37698783910196443,0.9588014981273408,0.04119850187265917,0.6137218045112782,0.38627819548872183,1347,1524,0.06835672249886826,0.21502942507922138,0.7170665459483929,0.025350837483023993,0.26527840651878676,0.14259846084200997,0.058850158442734266
